Year,Series,Units,Group,Progress,Value
2015,Series1,Unit1,Group A,9,0
2015,Series1,Unit1,Group B,1,-1
2015,Series1,Unit2,Group A,1,0
2015,Series1,Unit2,Group B,1,-1
2015,Series2,Unit1,Group A,1,0
2015,Series2,Unit1,Group B,1,-1
2015,Series2,Unit2,Group A,1,0
2015,Series2,Unit2,Group B,1,-1
2016,Series1,Unit1,Group A,1,0
2016,Series1,Unit1,Group B,1,-1
2016,Series1,Unit2,Group A,1,0
2016,Series1,Unit2,Group B,2,-1
2016,Series2,Unit1,Group A,1,0
2016,Series2,Unit1,Group B,2,-1
2016,Series2,Unit2,Group A,2,0
2016,Series2,Unit2,Group B,9,-1
